name_hc,mb_2008,mb_2009,parent_key,key,setofmb_hc,id,idext,region,zone,woreda,wname,
Hasenge Health Center,110,94,uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d/r1[1],uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d/r1[1]/mb_HC[1],uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d/r1[1]/mb_HC,uuid:00fa80ff-91b5-4464-b5de-d27b822d1b4d,r1[1],Harari,Harer,270,Dire Teyara,
Fechena Hc,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[3],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
Abey Take,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[1],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
DaelaHc,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
Taratu hc,0,0,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC[4],uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d/r1[2]/mb_HC,uuid:0159d3e6-3cb4-4e29-8488-d68c789bae7d,r1[2],SNNP,Sidama,177,Chire,
Tekea  Health  Center,13,14,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[3],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Bora  Health  Center,37,84,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[2],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Selawa  Health  Center,63,59,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[4],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Betmera   Health  Center,12,18,uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC[1],uuid:030910cf-7650-41a5-8936-0c3f052694a9/r1[1]/mb_HC,uuid:030910cf-7650-41a5-8936-0c3f052694a9,r1[1],Tigray,South Tigray,115,Ambalage,
Chuko,1,0,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC[2],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Kela 01,5,5,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC[3],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Wosha,2,39,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC[4],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Aruma,4,3,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Babo,6,5,uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC[5],uuid:036d6141-e104-412e-9156-ed69b77bb985/r1[1]/mb_HC,uuid:036d6141-e104-412e-9156-ed69b77bb985,r1[1],SNNP,Sidama,169,Wondo Genet,
Tengego,0,0,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC[2],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09,r1[3],Amhara,North Shewa,238,Angolela,
Cha cha,0,0,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC[1],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09,r1[3],Amhara,North Shewa,238,Angolela,
Kotu,0,0,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC[4],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09,r1[3],Amhara,North Shewa,238,Angolela,
Tsigereda,0,0,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC[3],uuid:03a9626a-425a-493b-929f-f8cc6fc18d09/r1[3]/mb_HC,uuid:03a9626a-425a-493b-929f-f8cc6fc18d09,r1[3],Amhara,North Shewa,238,Angolela,
Denglet health center,28,45,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Welwalo health center,0,0,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[5],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Sewne health centert,0,12,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[6],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Freweyni health center,102,139,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[2],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Adi kelebes health center,2,22,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[7],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Edaga hamus health center,21,36,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[3],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Edaga rebue health center,5,0,uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC[4],uuid:058c31f1-40da-476f-b49e-cc8ca10256de/r1[1]/mb_HC,uuid:058c31f1-40da-476f-b49e-cc8ca10256de,r1[1],Tigray,Eastern Tigray,106,Saesi Tsadamba,
Aselel,0,6,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC[2],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9,r1[2],Amhara,South Wolo,229,Legehida,
Zenamba,0,1,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC[4],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9,r1[2],Amhara,South Wolo,229,Legehida,
Shikif,20,20,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC[3],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9,r1[2],Amhara,South Wolo,229,Legehida,
Woyin Amba,3,10,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC[1],uuid:060b4874-0ca7-40f0-a876-b66dc8150af9/r1[2]/mb_HC,uuid:060b4874-0ca7-40f0-a876-b66dc8150af9,r1[2],Amhara,South Wolo,229,Legehida,
Negashe health center,68,372,uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC[4],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC,uuid:077c800c-54af-4159-99d5-c5388e7b2de3,r1[1],Tigray,Eastern Tigray,109,Klite Awlalo,
Abrha atsebha health center,204,769,uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC[1],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC,uuid:077c800c-54af-4159-99d5-c5388e7b2de3,r1[1],Tigray,Eastern Tigray,109,Klite Awlalo,
Tsegereda health center,32,139,uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC[5],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC,uuid:077c800c-54af-4159-99d5-c5388e7b2de3,r1[1],Tigray,Eastern Tigray,109,Klite Awlalo,
Agulae health center,70,469,uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC[2],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC,uuid:077c800c-54af-4159-99d5-c5388e7b2de3,r1[1],Tigray,Eastern Tigray,109,Klite Awlalo,
Baeti aqor,110,337,uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC[3],uuid:077c800c-54af-4159-99d5-c5388e7b2de3/r1[1]/mb_HC,uuid:077c800c-54af-4159-99d5-c5388e7b2de3,r1[1],Tigray,Eastern Tigray,109,Klite Awlalo,
Gatama,2,0,uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC[5],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC,uuid:085846d9-c85c-481b-b496-0e5e0fe57062,r1[1],SNNP,Sidama,174,Hula,
Abela H.C,3,0,uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC[2],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC,uuid:085846d9-c85c-481b-b496-0e5e0fe57062,r1[1],SNNP,Sidama,174,Hula,
Teticha H.C,8,0,uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC[1],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC,uuid:085846d9-c85c-481b-b496-0e5e0fe57062,r1[1],SNNP,Sidama,174,Hula,
Kankicha,0,0,uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC[3],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC,uuid:085846d9-c85c-481b-b496-0e5e0fe57062,r1[1],SNNP,Sidama,174,Hula,
Chirone,3,0,uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC[4],uuid:085846d9-c85c-481b-b496-0e5e0fe57062/r1[1]/mb_HC,uuid:085846d9-c85c-481b-b496-0e5e0fe57062,r1[1],SNNP,Sidama,174,Hula,
Walga,876,539,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC[4],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936,r1[2],SNNP,Gurage,132,Abshge,
Hole,1340,452,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC[1],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936,r1[2],SNNP,Gurage,132,Abshge,
Mamede,844,423,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC[3],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936,r1[2],SNNP,Gurage,132,Abshge,
Darge,831,635,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC[2],uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936/r1[2]/mb_HC,uuid:0b4e2f79-9c9e-4a99-a18d-4006d2c20936,r1[2],SNNP,Gurage,132,Abshge,
Bursa health center,7,0,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC[1],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae,r1[4],SNNP,Sidama,172,Bursa,
Tugo health center,0,0,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC[4],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae,r1[4],SNNP,Sidama,172,Bursa,
Agara gidire,0,0,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC[5],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae,r1[4],SNNP,Sidama,172,Bursa,
Tankaro,0,0,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC[3],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae,r1[4],SNNP,Sidama,172,Bursa,
Elala health center,0,0,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC[2],uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae/r1[4]/mb_HC,uuid:0b746510-0cfa-4fbd-8ac4-8b6d4c363bae,r1[4],SNNP,Sidama,172,Bursa,
Gebiba,0,0,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[4],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Bate,0,0,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[6],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Kara kurkura,6,0,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Bososo,15,3,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[3],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Shunko,41,5,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[2],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Kara kurkura ,6,0,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Burka,0,0,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC[5],uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73/r1[1]/mb_HC,uuid:0d2a5f82-0637-44bf-a990-9be3b72c4e73,r1[1],Oromiya,West Hararge,67,ODA BULTUM WEREDA,
Gonderber,32,40,uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5/r1[1],uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5/r1[1]/mb_HC[1],uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5/r1[1]/mb_HC,uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5,r1[1],Amhara,North Wollo,215,Weldia,
Weldia,108,101,uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5/r1[1],uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5/r1[1]/mb_HC[2],uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5/r1[1]/mb_HC,uuid:14ddf784-e1fe-4fce-af51-5d8275bafba5,r1[1],Amhara,North Wollo,215,Weldia,
Shoa robit,2988,4327,uuid:158d907c-c521-4b33-92bb-c544f426b417/r1[2],uuid:158d907c-c521-4b33-92bb-c544f426b417/r1[2]/mb_HC[1],uuid:158d907c-c521-4b33-92bb-c544f426b417/r1[2]/mb_HC,uuid:158d907c-c521-4b33-92bb-c544f426b417,r1[2],Amhara,North Shewa,259,Shewarobit,
Fugnan dimo,0,0,uuid:15996877-e510-4923-846d-24cece7cf189/r1[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC[6],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC,uuid:15996877-e510-4923-846d-24cece7cf189,r1[2],Oromiya,West Hararge,56,CHIRO ZURIA WEREDA,
Yebdoshanbako,0,42,uuid:15996877-e510-4923-846d-24cece7cf189/r1[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC[4],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC,uuid:15996877-e510-4923-846d-24cece7cf189,r1[2],Oromiya,West Hararge,56,CHIRO ZURIA WEREDA,
Arbarakate,0,5,uuid:15996877-e510-4923-846d-24cece7cf189/r1[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC,uuid:15996877-e510-4923-846d-24cece7cf189,r1[2],Oromiya,West Hararge,56,CHIRO ZURIA WEREDA,
Ija fara,2,1,uuid:15996877-e510-4923-846d-24cece7cf189/r1[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC[1],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC,uuid:15996877-e510-4923-846d-24cece7cf189,r1[2],Oromiya,West Hararge,56,CHIRO ZURIA WEREDA,
Wacu,4,3,uuid:15996877-e510-4923-846d-24cece7cf189/r1[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC[5],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC,uuid:15996877-e510-4923-846d-24cece7cf189,r1[2],Oromiya,West Hararge,56,CHIRO ZURIA WEREDA,
Beka,4,21,uuid:15996877-e510-4923-846d-24cece7cf189/r1[2],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC[3],uuid:15996877-e510-4923-846d-24cece7cf189/r1[2]/mb_HC,uuid:15996877-e510-4923-846d-24cece7cf189,r1[2],Oromiya,West Hararge,56,CHIRO ZURIA WEREDA,
Masala,0,0,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[2],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Goro re'ee,0,0,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[4],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Coma,0,0,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[7],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Mole,0,6,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[3],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Goliya,0,1,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[6],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Gabes,0,15,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[5],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Walda'a,0,2,uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC[1],uuid:18300678-f50f-4e6f-b502-59b49fe901c2/r1[1]/mb_HC,uuid:18300678-f50f-4e6f-b502-59b49fe901c2,r1[1],Oromiya,West Hararge,65,MESELA-WEREDA,
Ererweldya health center,1332,820,uuid:191396de-7585-49a3-a3b2-3e2e3fcea125/r1[2],uuid:191396de-7585-49a3-a3b2-3e2e3fcea125/r1[2]/mb_HC[1],uuid:191396de-7585-49a3-a3b2-3e2e3fcea125/r1[2]/mb_HC,uuid:191396de-7585-49a3-a3b2-3e2e3fcea125,r1[2],Harari,Harer,273,Erer,
Nadugne Agam,134,117,uuid:19566a33-35ef-456d-a39c-ee3761310f45/r1[1],uuid:19566a33-35ef-456d-a39c-ee3761310f45/r1[1]/mb_HC[4],uuid:19566a33-35ef-456d-a39c-ee3761310f45/r1[1]/mb_HC,uuid:19566a33-35ef-456d-a39c-ee3761310f45,r1[1],SNNP,Silitie,199,Dalocha,
Dalocha,996,974,uuid:19566a33-35ef-456d-a39c-ee3761310f45/r1[1],uuid:19566a33-35ef-456d-a39c-ee3761310f45/r1[1]/mb_HC[1],uuid:19566a33-35ef-456d-a39c-ee3761310f45/r1[1]/mb_HC,uuid:19566a33-35ef-456d-a39c-ee3761310f45,r1[1],SNNP,Silitie,199,Dalocha,
